idx,date,truth,season,norros_f,linearP_f,farima_f,persist
7428,2001-11-08 14:00:00,1278789022944.0,826014373453.4375,1313653131102.7192,1324168718365.792,1303222422788.1934,1295992670748.0828
7429,2001-11-08 14:10:00,1321566071600.0,846342884778.0625,1326333475702.4229,1328450462231.8813,1313930336502.581,1299117534268.6235
7430,2001-11-08 14:20:00,1409004620272.0,877005264490.8125,1369719921931.2976,1374176474772.1978,1361183380750.026,1352228451312.7786
7431,2001-11-08 14:30:00,1318396232696.0,905579426250.875,1435113598359.0825,1438541293693.3247,1434876236905.6362,1437578782032.0818
7432,2001-11-08 14:40:00,1274163765728.0,929696710727.875,1388539449595.7207,1387060091986.6162,1372194805362.6,1342513517172.9817
7433,2001-11-08 14:50:00,1439470190464.0,953753726854.4375,1360218227395.7727,1365353927437.249,1335785464787.9316,1298220781854.5564
7434,2001-11-08 15:00:00,1415662528048.0,974928937813.0,1460825712004.3835,1470663205479.078,1457264479777.2332,1460645401422.535
7435,2001-11-08 15:10:00,1554769866296.0,987137291984.8125,1450655059043.431,1450184218704.449,1442635042365.0195,1427870882219.8218
7436,2001-11-08 15:20:00,1443385518640.0,985260060547.625,1528550888663.501,1534149009025.9863,1537226725883.2334,1552892634858.8262
7437,2001-11-08 15:30:00,1624909686920.0,991064544861.625,1474869435657.0054,1470598308951.336,1468665063105.6584,1449190002954.0054
7438,2001-11-08 15:40:00,1354326285168.0,1002210520087.5,1592306407922.3223,1598613354409.409,1610093743177.86,1636055662145.877
7439,2001-11-08 15:50:00,1481185671704.0,1015648963446.0625,1440735609766.0908,1431301699949.9683,1419382021073.9958,1367764728526.5679
7440,2001-11-08 16:00:00,1448433763808.0,1020662008364.9375,1498252836140.6912,1509410849615.3066,1493754786441.925,1486198716622.8735
7441,2001-11-08 16:10:00,1573738288040.0,1015900205815.6875,1470718790217.8174,1471089788723.4177,1462738292107.5354,1443671961258.762
7442,2001-11-08 16:20:00,1552146170872.0,1008916974199.1875,1542704866784.211,1548505382898.1519,1553272670420.273,1566755056423.5166
7443,2001-11-08 16:30:00,1627382909936.0,1007214783466.1875,1541326214063.8086,1538335703944.149,1549772967962.554,1550443980138.9746
7444,2001-11-08 16:40:00,1694773000400.0,999524942892.9375,1586537568544.327,1587259183308.8906,1603654146511.9536,1619693069362.7422
7445,2001-11-08 16:50:00,1664833238584.0,983762991807.8125,1627539173547.6943,1624769737680.6187,1653357773653.4814,1679011049314.8823
7446,2001-11-08 17:00:00,1497901122024.0,953620820065.3125,1599745290587.71,1593417098630.7773,1621791880240.5713,1634691066841.4966
7447,2001-11-08 17:10:00,1517900828456.0,915078777753.5,1480124730784.2546,1474051542511.462,1481081583780.103,1459359079712.1824
7448,2001-11-08 17:20:00,1535016049696.0,882716958754.5,1475476243811.7876,1478633107602.9146,1484760899665.0413,1485539009456.9863
7449,2001-11-08 17:30:00,1744486405784.0,840521619755.9375,1465700745324.9094,1464502317612.2031,1482514531074.195,1492820710697.4187
7450,2001-11-08 17:40:00,1842201038240.0,805708469121.625,1597388903517.9766,1597905728849.5378,1646154492584.7966,1709673255149.6992
7451,2001-11-08 17:50:00,1764283192488.0,766128535448.375,1668009199619.0374,1656233867383.9639,1731207996353.0173,1802621104566.7566
7452,2001-11-08 18:00:00,1738753154600.0,730185832990.125,1633498191633.6064,1616740205027.1328,1685916929589.267,1728340490029.7622
